,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
93996,47578,"Jeffrey ""Jeff"" Henderson",M,27.0,183.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,Gold
94112,47632,Paris Henken,F,20.0,168.0,64.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,
94892,48041,"Lauren Zoe ""Laurie"" Hernandez",F,16.0,152.0,49.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
94893,48041,"Lauren Zoe ""Laurie"" Hernandez",F,16.0,152.0,49.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
94894,48041,"Lauren Zoe ""Laurie"" Hernandez",F,16.0,152.0,49.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Silver
94922,48058,Nico Miguel Hernandez,M,20.0,165.0,49.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,Bronze
95778,48478,David Higgins,M,22.0,175.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
95936,48562,Darrell Hill,M,22.0,191.0,145.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,
95966,48581,"Kimberly ""Kim"" Hill",F,26.0,193.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
95989,48595,"Samantha ""Sami"" Hill",F,24.0,183.0,89.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
96523,48869,"Michael ""Mike"" Hixon",M,22.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,
96524,48869,"Michael ""Mike"" Hixon",M,22.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Silver
97243,49221,"Margaret ""Maggie"" Hogan",F,37.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",
97244,49221,"Margaret ""Maggie"" Hogan",F,37.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",
