ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
18653,Michelle Denee Carter,F,30.0,176.0,136.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's Shot Put""]",['Gold']
18976,Kristi Castlin,F,28.0,170.0,60.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 100 metres Hurdles""]",['Bronze']
19044,Tamika Devonne Catchings,F,37.0,185.0,77.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Women's Basketball""]",['Gold']
19057,Kelly Catlin,F,20.0,168.0,63.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Women's Team Pursuit""]",['Silver']
19335,"Matthew Gerald ""Matt"" Centrowitz, Jr.",M,26.0,176.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 1,500 metres""]",['Gold']
19547,Louisa Chafee,F,24.0,165.0,57.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Sailing,['Sailing Mixed Multihull'],[nan]
19644,Miles Cleveland Chamley-Watson,M,26.0,193.0,80.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Fencing,"[""Fencing Men's Foil, Individual"", ""Fencing Men's Foil, Team""]","[nan, 'Bronze']"
19901,Tina Alexandria Charles,F,27.0,193.0,88.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Women's Basketball""]",['Gold']
20133,Paul Kipkemboi Chelimo,M,25.0,175.0,57.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 5,000 metres""]",['Silver']
20599,Phillip Hung Chew,M,22.0,173.0,91.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Badminton,"['Badminton Mixed Doubles', ""Badminton Men's Doubles""]",[nan]
21270,Micah Makanamaikalani Christenson,M,23.0,198.0,86.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Volleyball,"[""Volleyball Men's Volleyball""]",['Bronze']
21817,"Caroline Archer ""KK"" Clark",F,26.0,188.0,72.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Women's Water Polo""]",['Gold']
21954,"William Bundu ""Will"" Claye",M,25.0,181.0,72.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Triple Jump""]",['Silver']
21990,Kerron Stephon Clement,M,30.0,188.0,86.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 400 metres Hurdles""]",['Gold']
22002,Kyle Clemons,M,25.0,180.0,74.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 4 x 400 metres Relay""]",['Gold']
22143,Emma Jane Coburn,F,25.0,173.0,54.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 3,000 metres Steeplechase""]",['Bronze']
22242,Corey Cogdell-Unrein,F,29.0,173.0,70.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Shooting,"[""Shooting Women's Trap""]",['Bronze']
22324,"Charles ""Charlie"" Cole",M,30.0,194.0,90.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rowing,"[""Rowing Men's Coxless Fours""]",[nan]
22342,Christian Coleman,M,20.0,175.0,72.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's 4 x 100 metres Relay""]",[nan]
22662,"John ""Jack"" Conger",M,21.0,193.0,80.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 4 x 200 metres Freestyle Relay""]",['Gold']
22675,"Kimberley Frances ""Kim"" Conley",F,30.0,161.0,49.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 5,000 metres""]",[nan]
22829,Charles Albert Shone Conwell,M,18.0,175.0,75.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Boxing,"[""Boxing Men's Middleweight""]",[nan]
22857,Kassidy Leigh Cook,F,21.0,163.0,57.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Diving,"[""Diving Women's Springboard""]",[nan]
23040,Kevin Cordes,M,22.0,196.0,88.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 4 x 100 metres Medley Relay"", ""Swimming Men's 100 metres Breaststroke"", ""Swimming Men's 200 metres Breaststroke""]","[nan, 'Gold']"
23497,DeMarcus Amir Cousins,M,25.0,210.0,122.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Men's Basketball""]",['Gold']
23585,J'den Michael Tbory Cox,M,21.0,180.0,86.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Wrestling,"[""Wrestling Men's Light-Heavyweight, Freestyle""]",['Bronze']
23616,"Amelia ""Amy"" Cozad",F,25.0,160.0,51.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Diving,"[""Diving Women's Synchronized Platform""]",[nan]
