ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,EventMedal
128954,"Gerry Lester ""Bubba"" Watson, Jr.",Male,37.0,191.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Golf,['Individual'],['Did Not Place'],Individual: Did Not Place
129082,Ameer Kenneth Webb,Male,25.0,180.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['200 metres'],['Did Not Place'],200 metres: Did Not Place
129231,"Alexis ""Lexi"" Weeks",Female,19.0,168.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Pole Vault'],['Did Not Place'],Pole Vault: Did Not Place
129349,Seth Weil,Male,29.0,198.0,98.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,['Coxless Fours'],['Did Not Place'],Coxless Fours: Did Not Place
129402,Amanda Jo Weir (-Davis),Female,30.0,188.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,['4 x 100 metres Freestyle Relay'],['Silver'],4 x 100 metres Freestyle Relay: Silver
129450,Anders Weiss,Male,23.0,196.0,93.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,['Coxless Pairs'],['Did Not Place'],Coxless Pairs: Did Not Place
129476,Abbey Weitzeil,Female,19.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"['4 x 100 metres Medley Relay', '4 x 100 metres Freestyle Relay', '50 metres Freestyle', '100 metres Freestyle']","['Silver', 'Did Not Place', 'Gold']",4 x 100 metres Medley Relay: Gold; 50 metres Freestyle: Did Not Place; 4 x 100 metres Freestyle Relay: Silver; 100 metres Freestyle: Did Not Place
129913,Lindsay Marie Whalen,Female,34.0,175.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,['Basketball'],['Gold'],Basketball: Gold
130442,Jordan Wilimovsky,Male,22.0,175.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"['10 kilometres Open Water', '1,500 metres Freestyle']",['Did Not Place'],"1,500 metres Freestyle: Did Not Place; 10 kilometres Open Water: Did Not Place"
130566,Chrishuna Williams,Female,23.0,160.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['800 metres'],['Did Not Place'],800 metres: Did Not Place
130623,Kendell Williams,Female,21.0,178.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Heptathlon'],['Did Not Place'],Heptathlon: Did Not Place
130667,Serena Jamika Williams,Female,34.0,175.0,70.0,United States-1,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,"['Singles', 'Doubles']",['Did Not Place'],Doubles: Did Not Place; Singles: Did Not Place
130696,Venus Ebony Starr Williams,Female,36.0,185.0,75.0,United States-1,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,"['Singles', 'ixed Doubles', 'Doubles']","['Silver', 'Did Not Place']",Doubles: Did Not Place; ixed Doubles: Silver; Singles: Did Not Place
130774,Aje Wilson,Female,22.0,173.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['800 metres'],['Did Not Place'],800 metres: Did Not Place
131006,Rudy Winkler,Male,21.0,188.0,109.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Hammer Throw'],['Did Not Place'],Hammer Throw: Did Not Place
131151,Jill Witmer,Female,24.0,158.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,['Hockey'],['Did Not Place'],Hockey: Did Not Place
131532,Chloe Woodruff,Female,29.0,158.0,51.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"['Mountainbike, Cross-Country']",['Did Not Place'],"Mountainbike, Cross-Country: Did Not Place"
